,VFINX,VEXMX,NAESX,VEURX,VPACX,VBINX,VIVAX,VEIEX,VIMSX,VISGX,VISVX,QQQ,VBIAX,VGSLX
2015-01-30,-0.02997571181561248,0.013909373761529828,-0.0033851531879698048,0.031677303824591274,0.017396085429303935,0.008948257606152726,-0.008652235313331771,0.003934564712484317,0.004197108354388052,0.003296935978212885,-0.0013191146532803566,0.005618723565874662,0.00017246500899853467,0.06269332615424726
2015-02-27,0.05748235291456289,-0.0029948606591544344,-0.00012440167040086297,0.0059069007491770464,0.010126508563315643,-0.006060670171770144,-0.005190588684527139,-0.02979358338736919,0.004801008687020353,-0.000805598891002686,-9.787495391021944e-05,-0.0013729902455277693,-0.0004520149110326527,-0.06955577549387731
2015-03-31,-0.015809903932073762,0.030049527307038075,-0.0014121760661126893,-0.013213055411344772,0.016771668968978238,0.0022036087014912454,0.0027126429697969037,-0.018109981345186307,0.004354611224898665,-0.003612400353256601,0.004223611826278839,-0.005510383303181415,0.00016533357948613284,-0.000711858766375497
2015-04-30,0.009584952283571984,-0.02589756917732592,-0.0008950598378880854,0.03752930769152377,0.01589112637696432,-0.0022980325196102257,0.0024801257876075154,0.04776188246529158,-0.004248539136811594,0.0004784976666115763,-0.0009409725257308686,0.015485946230023372,-0.00014641459883893448,-0.04317978008903476
2015-05-29,0.012870836146747727,0.00428163405064092,0.002278607902928158,-0.011919027675354521,-0.010776191821205372,-0.0018291489432084645,-0.0016763948563189197,-0.035751461674217166,-0.0029526786109996227,0.008209092019801943,-0.0032636841621280395,0.0045436244770812075,0.000245563249307911,-0.004350582429119648
2015-06-30,-0.01919229609480427,0.014123722197089432,-0.0023613579620291245,-0.015379703283961963,-0.0005365677608213729,-0.003533614389752516,-0.0016832668304588329,-0.00037816013728277087,-0.002059269369650809,0.00491804153746723,0.0025722226885546116,-0.013182365581321994,-8.549073658401136e-05,-0.016567019643423775
2015-07-31,0.020949420396441713,-0.024742670668812226,-0.00024414763560411416,0.009264848143349623,-0.024303053294306775,0.0030435756726387396,-0.01041664697115751,-0.0697172111176534,0.008060645724892365,0.0010909966221545712,-0.011540630808934338,0.020240046429886693,-8.911933495516465e-05,0.04786337122635215
2015-08-31,-0.060316468560255125,0.007882007476985274,-0.001550034414726495,-0.013002258908534889,-0.023312678131154507,2.4138731712260164e-05,0.0018831418538515707,-0.016411696238916973,0.010189766272879819,-0.015793546104100054,0.0025553812332674217,0.011572618099165904,0.00021235215522093231,-0.024291607963525717
2015-09-30,-0.02476072360910558,-0.020844395350103004,0.0026547158375748656,-0.014116319007811812,-0.00892152005402564,0.0040503023085734224,-0.00038101563650089557,0.01714735475109031,-0.0012713486979037195,-0.00923536118022232,-4.621700597009365e-05,0.016936734207184435,-8.848979771212094e-05,0.04678332487857513
2015-10-30,0.08432528414436796,-0.03718356314657353,0.00440210592768818,-0.015857378836313413,0.03182004942538178,-0.0017689880759401838,-0.007529429030306359,-0.01400554783503552,-0.008707963738408979,-0.006595201830073408,0.0026862320195088496,0.016673331881863526,0.00023449942389178885,-0.00016342563991840475
2015-11-30,0.0030613990558998098,0.013985770630940156,0.0009124947382160888,-0.017752685710096812,0.002868284025985908,-0.000784994950922361,0.0022537179375539725,-0.03190505485090863,-0.0066429348194421405,0.008229157708245532,0.0007084306014241547,0.0014995777595822341,-0.00044009112495689735,-0.006757795480430973
2015-12-31,-0.015770624224469895,-0.021950444286562953,-0.0028358052455568633,-0.0052448503804282225,0.01764937966969748,-0.0013830435438036744,0.0058652366243074835,-0.002752665668173275,0.0007250544280835262,0.01204138909616908,-0.012000903682886081,0.01271668308887342,0.000195916653395925,0.06352738183384327
2016-01-29,-0.04962710809281256,-0.033450626058782934,0.010544230010180664,-0.008014275212938793,-0.005757342740527083,0.007723532295265487,-0.0029370661134069595,0.016257318100346294,-0.009545212362042477,-0.008564025612808487,-0.0008863305374692543,0.011877188788051024,-0.0001205940636045226,-0.0063006420232196644
2016-02-29,-0.001362379038261082,0.006226384022614778,0.004391035555102147,-0.028373646650123978,-0.017393721518638258,0.003655358453376842,0.004099734784284222,0.016623511205861002,0.00804091885944765,-0.008727428381830332,-0.0005158664510093343,-0.011037463790767022,-7.162972127309694e-05,-0.030931759715438583
2016-03-31,0.06785062487099314,0.007603432165129889,0.0034159396876700526,-0.00033387514095568893,0.025795589936845623,0.0026724982110653203,0.0003580352362464595,0.04612665290622908,4.3468415329248056e-05,-0.0055222117849519775,0.006697420016460703,-0.017409586435531685,0.000258217861441562,0.01442130268588565
2016-04-29,0.003928480190897424,0.012773408095626621,0.0003155575616697777,0.02281293540725497,-0.011539160528245941,0.0008860888350899557,0.010391327045078568,-0.014505380998816998,-0.008869142809968342,0.0026288565246798228,0.002646575812632137,-0.022274630369488485,0.00025312352388247306,-0.04198387033260839
2016-05-31,0.017912947427292995,-0.001835087799435902,0.0020358060135515187,-0.02283901250854738,0.005599494532462384,0.00028655711130426247,-0.004935110125991982,-0.037061212871145145,0.003242935367449854,0.003221259439386049,-0.004040656719025759,0.019823177344916242,-9.117261947998168e-05,0.010590847387951635
2016-06-30,0.0025913436948070724,-0.003936651437068218,0.00389910649971941,-0.04668840884118476,0.03096200559095844,0.009104310299148023,0.013166484714736987,0.06683239866866467,-0.010191343081621708,0.011881433152374853,-0.0033323326642032644,-0.017811519631708732,-0.00011153469053244366,0.04596506510902098
2016-07-29,0.03685043547110057,0.013164584234326406,-0.0020385335636811386,0.0014654689808645607,0.02247792730164512,0.001785034544333191,-0.0050474978599550635,-0.007310627844307208,0.002003040660457714,-7.965069400893421e-05,0.0037538225481986154,0.01715211845263246,-0.00010958844486013558,-0.0037802647752197757
2016-08-31,0.0014278250908910143,0.007430100056787439,-0.002646779292804621,0.005457077156360205,-0.003709933175753992,-0.0011541608562257977,0.005911646417446523,0.008818413712335346,-0.004672750128476025,0.001978864931729804,0.002584909420203148,0.01013599709694939,0.0002276528079263227,-0.03338683518929258
2016-09-30,0.00020587129160932007,0.00875196484185165,-0.004962864182359215,0.005566113224340645,0.02196812351188787,-0.0005277867457000059,-0.0026262718414420917,-0.0047690975751832464,0.0008232085748329366,-0.0022691541569999623,0.004214390739758649,0.015837654672138782,-0.00019158040254567204,-0.018579636728744464
2016-10-31,-0.0182474718212543,-0.018519933020116095,-0.002644137387147312,-0.012598828162293768,0.016549139265808407,-0.0028674755868063843,0.006561740882921335,0.03440239192357047,-0.0032861517067770477,-0.007559987577640981,0.0022664893479695525,0.015681837695527008,-0.00012954544450665198,-0.020976300038395908
2016-11-30,0.037072254727380745,0.0382178743749341,0.0076655903915993084,-0.0659039041471331,-0.009747323039559186,-0.010378244611091221,0.02307982628463489,-0.05624337930933518,-0.013607742233124505,-0.002544084700135313,0.010756753258995597,-0.01964962991181855,0.0003057434216578725,-0.05782640061617042
2016-12-30,0.01980719511671736,-0.003597552918181906,0.0012318127563359649,0.028620176734686954,-0.036301663377869296,-4.550160272551347e-05,0.00483591168860573,-0.0240951983948018,-0.01360778691616629,-0.005152425371877145,0.005967361262250961,0.0007664301652418968,-9.760403306736422e-05,0.028332621678928433
2017-01-31,0.018961541688854448,0.00047462626433679087,-0.005046456517288033,0.012169495071259473,0.025098777255826907,0.000381282769684594,-0.010220462450263732,0.012442098619042788,0.012612868693071589,0.0010691867770850697,-0.0021969202612311,0.012612540646976152,-0.00013066882911423258,-0.013841031202016725
2017-02-28,0.0397045610034208,-0.01920572006495861,0.0007048627248467283,-0.0289014398961514,0.015425711451781125,0.00278869742127575,0.000553860548573426,0.015192549741573667,-0.001982746512355884,0.005675062639723786,-0.0051895405521996535,-0.004937956648486057,0.00022532154911396665,0.006456072558736706
2017-03-31,0.0011452378922556276,-0.001885604486345895,-0.0016552027518409438,0.041595148156254064,-0.00999656952308211,-0.0007981303592591303,-0.013620412893517071,0.0009243522706624298,0.003392585848999591,-0.0011801410471034297,0.0024207677114870185,0.005568640160405584,-7.841836703348127e-05,-0.01858943731805477
2017-04-28,0.01025987648659377,9.845201395565668e-05,-0.002593394032711518,0.032203796232994575,-0.01972725723246433,0.002502514472403723,-0.009879593541745162,-0.006775787047407075,0.0035391350030843354,-0.0023870521909823555,0.0012686969436037196,0.004661613297080598,-9.268368102004557e-05,-0.012436170213839859
2017-05-31,0.014060297789277868,-0.02326172413059452,-0.0026465340624094065,0.03874218520507855,-0.006525964281543107,0.0024416883288804836,-0.013831237124446396,-0.011098555019184856,0.009549493435937039,0.004881648562426689,-0.009928642922456833,0.012088733075616837,0.00019979882823591665,-0.004269574749706824
2017-06-30,0.00622303339616637,0.01637297029900445,-0.0008008229316187263,-0.01597261328223906,0.018851215869015597,1.3143516490338528e-05,0.013229916964940906,-0.006797546785804176,-0.011712106356527665,0.007022645873794803,0.0035845488607382306,-0.02095869448302585,-0.00010455858523513838,0.00796281637781826
2017-07-31,0.020547299813780343,-0.011508816356117196,0.0007626764812866914,0.012333499419130506,0.006463286378111284,0.0013169172662891755,-0.005250332747261957,0.028299858454890543,0.000886538234569384,-1.676637687436991e-05,-0.0006198233897855236,0.011583883498093712,-0.00010696446021657945,-0.0016003191083854684
2017-08-31,0.0030551429155352174,-0.007379353675383662,-0.005195139831131145,0.000512130279537715,0.0007133511895603933,0.003183361720337471,-0.0037435149369538234,0.03240769898120505,-0.0041471012978414445,0.003107352593898789,0.0014639948514793936,0.004575625153453156,0.00019119223101412078,0.002879326916893545
2017-09-29,0.02070078243744722,0.019589006730333976,0.0021626758026113482,0.008534885890081612,-0.014450494902790245,-0.002639691964795311,0.008335830355034778,-0.04003129423210301,-0.010433105941781543,0.0014759977755767692,0.006033563795848289,-0.014888307337417963,-6.722899100435227e-05,-0.028397465354650788
2017-10-31,0.02333814478794927,-0.011634803760978939,0.002331739618375994,-0.016841297053605375,0.04109588577905632,0.00032059812904386073,-0.004820421472110405,0.0008695731919352058,-0.004152571923784728,0.00904110947229144,-0.0032961052685142253,0.01433740565220417,0.00017095925756914487,-0.01987107226078176
